t (s),V (mV),,t (s),V (mV),t (s),V (mV)
305,7.2744,,305,1.984361335,305,3.431881815
306,7.2613,,306,1.982558876,306,3.430079356
307,7.2488,,307,1.980835938,307,3.428356418
308,7.2365,,308,1.979137664,308,3.426658144
309,7.2229,,309,1.977256534,309,3.424777014
310,7.2105,,310,1.975538297,310,3.423058777
310.999,7.1976,,310.999,1.973747637,310.999,3.421268117
311.999,7.1853,,311.999,1.972037272,311.999,3.419557752
313,7.1735,,313,1.970393681,313,3.417914161
314,7.1606,,314,1.968593776,314,3.416114256
315,7.1478,,315,1.966804617,315,3.414325097
315.999,7.1354,,315.999,1.965068311,315.999,3.412588791
316.999,7.1225,,316.999,1.963258787,316.999,3.410779267
318,7.1104,,318,1.961558501,318,3.409078981
319,7.0978,,319,1.959784877,319,3.407305357
320,7.0862,,320,1.958149231,320,3.405669711
321,7.0731,,321,1.956298856,321,3.403819336
322,7.0606,,322,1.954530034,322,3.402050514
322.999,7.0471,,322.999,1.952616185,322.999,3.400136665
324,7.0345,,324,1.950826615,324,3.398347095
325,7.0227,,325,1.949147759,325,3.396668239
326,7.0086,,326,1.947137966,326,3.394658446
327,6.9969,,327,1.945467194,327,3.392987674
327.999,6.9833,,327.999,1.943521584,327.999,3.391042064
328.999,6.9712,,328.999,1.941787376,328.999,3.389307856
